model_id,file1,file2,cosine_similarity,matcher_similarity,model_name,cosine_similarity_pct,matcher_similarity_pct
model_4,kallan_2.wav,Eliza1.mp3,0.24172700941562653,0.24172700941562653,v33_ep19,24.17%,24.17%
model_4,Hello1.mp3,Skywalker_en-AU-jimm.mp3,0.19421666860580444,0.19421666860580444,v33_ep19,19.42%,19.42%
model_5,sam_1.wav,sam_2.wav,0.6987220048904419,0.6987220048904419,v33_ep18,69.87%,69.87%
model_5,shambu_1.wav,shambu_2.wav,0.6951297521591187,0.6951297521591187,v33_ep18,69.51%,69.51%
model_5,alexa_1.wav,alexa_2.wav,0.5025697946548462,0.5025697946548462,v33_ep18,50.26%,50.26%
model_5,alexa_1.wav,alexa_3.wav,0.495909184217453,0.495909184217453,v33_ep18,49.59%,49.59%
model_5,alexa_1.wav,alexa_4.wav,0.4752275347709656,0.4752275347709656,v33_ep18,47.52%,47.52%
model_5,alexa_1.wav,alexa_5.wav,0.6837823390960693,0.6837823390960693,v33_ep18,68.38%,68.38%
model_5,alexa_2.wav,alexa_3.wav,0.46757036447525024,0.46757036447525024,v33_ep18,46.76%,46.76%
model_5,alexa_2.wav,alexa_4.wav,0.26559799909591675,0.26559799909591675,v33_ep18,26.56%,26.56%
model_5,alexa_2.wav,alexa_5.wav,0.3843308687210083,0.3843308687210083,v33_ep18,38.43%,38.43%
model_5,alexa_3.wav,alexa_4.wav,0.3215128779411316,0.3215128779411316,v33_ep18,32.15%,32.15%
model_5,alexa_3.wav,alexa_5.wav,0.35176515579223633,0.35176515579223633,v33_ep18,35.18%,35.18%
model_5,alexa_4.wav,alexa_5.wav,0.3433403968811035,0.3433403968811035,v33_ep18,34.33%,34.33%
model_5,shiva_1.wav,shiva_2.wav,0.544317901134491,0.544317901134491,v33_ep18,54.43%,54.43%
model_5,munez_2.wav,munez_3.wav,0.7858420610427856,0.7858420610427856,v33_ep18,78.58%,78.58%
model_5,nigga2.wav,nigga3.wav,0.9080588817596436,0.9080588817596436,v33_ep18,90.81%,90.81%
model_5,kallan_1.wav,kallan_2.wav,0.5088051557540894,0.5088051557540894,v33_ep18,50.88%,50.88%
model_5,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.7145581841468811,0.7145581841468811,v33_ep18,71.46%,71.46%
model_5,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.8016989231109619,0.8016989231109619,v33_ep18,80.17%,80.17%
model_5,sam_1.wav,shambu_1.wav,0.47034773230552673,0.47034773230552673,v33_ep18,47.03%,47.03%
model_5,sam_2.wav,alexa_3.wav,0.03509887680411339,0.03509887680411339,v33_ep18,3.51%,3.51%
model_5,sam_1.wav,shiva_2.wav,0.2508006691932678,0.2508006691932678,v33_ep18,25.08%,25.08%
model_5,shambu_1.wav,alexa_1.wav,0.11838115006685257,0.11838115006685257,v33_ep18,11.84%,11.84%
model_5,shiva_1.wav,munez_2.wav,0.34034258127212524,0.34034258127212524,v33_ep18,34.03%,34.03%
model_5,alexa_2.wav,nigga3.wav,0.32473433017730713,0.32473433017730713,v33_ep18,32.47%,32.47%
model_5,kallan_2.wav,Eliza1.mp3,0.22151122987270355,0.22151122987270355,v33_ep18,22.15%,22.15%
model_5,Hello1.mp3,Skywalker_en-AU-jimm.mp3,0.178083598613739,0.178083598613739,v33_ep18,17.81%,17.81%
model_6,sam_1.wav,sam_2.wav,0.6819038987159729,0.6819038987159729,v33_ep16,68.19%,68.19%
model_6,shambu_1.wav,shambu_2.wav,0.6415729522705078,0.6415729522705078,v33_ep16,64.16%,64.16%
model_6,alexa_1.wav,alexa_2.wav,0.3756237030029297,0.3756237030029297,v33_ep16,37.56%,37.56%
model_6,alexa_1.wav,alexa_3.wav,0.5189006328582764,0.5189006328582764,v33_ep16,51.89%,51.89%
model_6,alexa_1.wav,alexa_4.wav,0.4998016059398651,0.4998016059398651,v33_ep16,49.98%,49.98%
model_6,alexa_1.wav,alexa_5.wav,0.6928631067276001,0.6928631067276001,v33_ep16,69.29%,69.29%
model_6,alexa_2.wav,alexa_3.wav,0.3453134596347809,0.3453134596347809,v33_ep16,34.53%,34.53%
model_6,alexa_2.wav,alexa_4.wav,0.18579235672950745,0.18579235672950745,v33_ep16,18.58%,18.58%
model_6,alexa_2.wav,alexa_5.wav,0.37736496329307556,0.37736496329307556,v33_ep16,37.74%,37.74%
model_6,alexa_3.wav,alexa_4.wav,0.3995456099510193,0.3995456099510193,v33_ep16,39.95%,39.95%
model_6,alexa_3.wav,alexa_5.wav,0.3344155251979828,0.3344155251979828,v33_ep16,33.44%,33.44%
model_6,alexa_4.wav,alexa_5.wav,0.3418321907520294,0.3418321907520294,v33_ep16,34.18%,34.18%
model_6,shiva_1.wav,shiva_2.wav,0.550020694732666,0.550020694732666,v33_ep16,55.00%,55.00%
model_6,munez_2.wav,munez_3.wav,0.744412362575531,0.744412362575531,v33_ep16,74.44%,74.44%
